material,family,bandgap_eV,is_metal,defect_trap_score,ion_migration_score,air_stability_score,thermal_stability_score,fabrication_score,stm_evidence_score,surface_order_score,encapsulation_need_score,memristor_label,evidence_note
h-BN,2D insulator,5.9,0,0.85,0.70,0.95,0.95,0.85,0.80,0.90,0.10,high,Layered h-BN memristors and artificial synapses are widely reported; defects and ion filling can mediate switching.
MoS2,transition metal dichalcogenide,1.8,0,0.75,0.55,0.85,0.80,0.90,0.80,0.82,0.20,high,Representative 2D semiconductor with mature growth and device literature.
WS2,transition metal dichalcogenide,2.0,0,0.65,0.50,0.85,0.78,0.82,0.70,0.78,0.20,medium,Stable 2D semiconductor; memristor-specific data less extensive than MoS2.
WSe2,transition metal dichalcogenide,1.6,0,0.62,0.48,0.78,0.75,0.78,0.70,0.76,0.25,medium,2D semiconductor with defect-sensitive transport.
MoSe2,transition metal dichalcogenide,1.5,0,0.65,0.50,0.76,0.74,0.76,0.68,0.75,0.28,medium,Comparable to MoS2 but generally less robust in broad device reports.
MoTe2,transition metal dichalcogenide,1.1,0,0.70,0.55,0.55,0.65,0.65,0.62,0.68,0.45,medium,Phase and air-stability issues increase fabrication risk.
Black phosphorus,elemental 2D semiconductor,0.3,0,0.70,0.45,0.25,0.45,0.55,0.70,0.72,0.85,medium,High mobility but strong ambient instability requires encapsulation.
Graphene,2D semimetal,0.0,1,0.35,0.25,0.95,0.95,0.95,0.90,0.95,0.05,low,Excellent electrode/channel material but semimetallicity weakens use as standalone resistive switching layer.
Graphene oxide,2D oxide/defective carbon,2.5,0,0.90,0.75,0.75,0.65,0.82,0.55,0.60,0.25,high,Defect-rich oxide groups support resistive switching behavior.
Reduced graphene oxide,2D defective carbon,0.7,0,0.85,0.72,0.78,0.70,0.85,0.55,0.62,0.20,high,Defect and oxygen migration pathways often contribute to switching.
Ti3C2Tx MXene,MXene,0.2,1,0.65,0.75,0.35,0.55,0.72,0.55,0.65,0.65,medium,Surface terminations and ionic motion are useful but oxidation risk is high.
MoO3,2D oxide,3.0,0,0.82,0.80,0.70,0.72,0.70,0.65,0.66,0.35,high,Oxide chemistry and oxygen-vacancy dynamics are favorable for memristive switching.
WO3,2D oxide,2.8,0,0.80,0.82,0.72,0.76,0.70,0.62,0.64,0.30,high,Oxygen vacancy and ion insertion mechanisms are relevant for switching.
V2O5,2D oxide,2.3,0,0.78,0.85,0.65,0.68,0.68,0.55,0.62,0.38,high,Vanadium oxide redox and ion transport can support memristive behavior.
HfO2 ultrathin,ultrathin oxide,5.7,0,0.75,0.78,0.95,0.90,0.88,0.45,0.58,0.10,high,Benchmark RRAM oxide; included as an ultrathin oxide reference rather than a canonical vdW crystal.
Al2O3 ultrathin,ultrathin oxide,6.5,0,0.70,0.65,0.95,0.90,0.82,0.40,0.55,0.08,medium,"Stable dielectric with resistive switching reports, but high bandgap can require larger voltage."
SnS2,2D chalcogenide,2.2,0,0.62,0.45,0.72,0.68,0.70,0.58,0.68,0.30,medium,Layered semiconductor with moderate stability.
SnSe,2D chalcogenide,1.0,0,0.58,0.44,0.55,0.60,0.62,0.52,0.62,0.45,medium,Layered chalcogenide with stability concerns.
GeSe,2D chalcogenide,1.2,0,0.55,0.42,0.58,0.60,0.60,0.50,0.60,0.42,medium,Anisotropic layered semiconductor; memristor evidence less direct.
InSe,2D chalcogenide,1.3,0,0.55,0.40,0.62,0.62,0.65,0.58,0.70,0.35,medium,Layered semiconductor with transport interest.
GaSe,2D chalcogenide,2.0,0,0.52,0.38,0.60,0.60,0.62,0.52,0.66,0.38,medium,Layered semiconductor; ambient and contact issues remain.
Bi2O2Se,2D oxide selenide,0.8,0,0.55,0.45,0.82,0.78,0.70,0.55,0.70,0.18,medium,Air-stable 2D semiconductor more often used in transistors/optoelectronics.
ReS2,transition metal dichalcogenide,1.5,0,0.62,0.45,0.78,0.72,0.68,0.62,0.74,0.25,medium,Defect-rich anisotropic TMD with possible switching relevance.
PtSe2,transition metal dichalcogenide,0.4,0,0.50,0.38,0.78,0.78,0.70,0.55,0.72,0.20,low,Often semimetallic at larger thickness; less suitable as insulating switching layer.
TaS2,metallic layered material,0.0,1,0.55,0.35,0.72,0.75,0.66,0.65,0.75,0.25,low,"Charge-density-wave physics is interesting, but metallic behavior is a risk for standalone RRAM layers."
NbSe2,metallic layered material,0.0,1,0.45,0.30,0.72,0.72,0.65,0.65,0.75,0.25,low,Metallic/superconducting behavior makes high-resistance switching less direct.
CrI3,2D magnetic halide,1.2,0,0.55,0.35,0.20,0.35,0.40,0.55,0.62,0.90,low,Air-sensitive magnetic material; device integration is challenging.
PdSe2,2D chalcogenide,1.1,0,0.58,0.42,0.78,0.76,0.70,0.52,0.68,0.22,medium,Relatively stable layered semiconductor; memristor data not yet as direct.
ZnO monolayer,2D oxide,3.3,0,0.65,0.55,0.88,0.82,0.62,0.42,0.55,0.12,medium,"Oxide vacancy physics is relevant, but high-quality 2D growth can be challenging."
NiO ultrathin,ultrathin oxide,3.6,0,0.78,0.78,0.90,0.85,0.78,0.42,0.55,0.12,high,Classic oxide memristor reference included for mechanism transfer.
CuO ultrathin,ultrathin oxide,1.7,0,0.75,0.80,0.78,0.72,0.72,0.38,0.52,0.20,high,Redox-active oxide reference for vacancy/ion migration switching.
MoO2,2D/ultrathin oxide,0.2,1,0.60,0.72,0.72,0.76,0.66,0.45,0.58,0.22,low,Metallic oxide reference; useful electrode-like behavior but risky as switching dielectric.
