rank,material,material_display,material_class,electronic_score,defect_score,stability_score,fabrication_component,deposition_window_score,stm_score,total_score,rank_mean,rank_std,top5_probability,evidence_level_cn,recommendation,fabrication_note,evidence_note
1,Sb2O3,Sb2O3,2D inorganic molecular crystal,0.9822,0.6364,0.7147,0.76,0.76,0.9349,0.8018,1.0,0.0,1.0,已发表锚点,优先验证：建议进入 MBE 生长、原位 STM/STS 和两端器件测试。,已发表二维无机分子晶体锚点，适合优先作为流程标定材料。,Published 2D inorganic molecular crystal anchor with STM/STS and vdW polaron evidence.
2,PAs3S3,PAs3S3,2D cage-like inorganic molecular crystal,0.8602,0.6358,0.6129,0.95,0.95,0.5255,0.7179,2.0,0.0,1.0,已验证 MBE 生长候选,候选验证：建议补充 STS、DFT 和沉积窗口数据。,升华温度明显低于分解温度，MBE 沉积窗口清晰。,Published/reference [1] and confirmed MBE-growth candidate with clear sublimation-decomposition window.
3,P3SbS3,P3SbS3,2D cage-like inorganic molecular crystal,0.747,0.557,0.6102,0.62,0.62,0.3238,0.5896,3.484,0.5,1.0,已验证 MBE 生长候选,候选验证：建议补充 STS、DFT 和沉积窗口数据。,已验证可 MBE 生长，但原材料合成仍是近期器件验证的主要风险。,"Confirmed MBE-growth candidate with high birefringence, but raw-material synthesis remains difficult."
4,alpha-P4S5-noncentro,α-P4S5 非中心相,2D cage-like inorganic molecular crystal,0.9201,0.4824,0.6317,0.38,0.38,0.3636,0.5885,3.516,0.5,1.0,待验证 MBE 生长候选,工艺待验证：先确认高真空下升华温度是否低于分解温度。,存在相变或升华窗口不确定性，需先验证高真空沉积窗口。,Non-centrosymmetric alpha-P4S5 with phase transition near 167 C and decomposition near 210 C.
5,AsP3S5,AsP3S5,2D cage-like inorganic molecular crystal,0.8314,0.4497,0.5859,0.34,0.34,0.1738,0.5145,5.404,0.611,0.658,待验证 MBE 生长候选,工艺待验证：先确认高真空下升华温度是否低于分解温度。,系列性质类似 α-P4S5，但 MBE 沉积窗口仍待实验确认。,Series candidate whose properties are similar to alpha-P4S5 according to the provided table.
6,P4Se5,P4Se5,2D cage-like inorganic molecular crystal,0.676,0.537,0.6679,0.36,0.36,0.1366,0.5113,6.384,1.072,0.292,待验证 MBE 生长候选,工艺待验证：先确认高真空下升华温度是否低于分解温度。,热稳定性较高但升华窗口未知，不能直接等同于可沉积。,Cage-like P-Se candidate with higher thermal stability according to the provided table.
7,P4S4Se,P4S4Se,2D cage-like inorganic molecular crystal,0.8092,0.4848,0.5757,0.34,0.34,0.1436,0.5112,6.566,0.637,0.004,待验证 MBE 生长候选,工艺待验证：先确认高真空下升华温度是否低于分解温度。,系列性质类似 α-P4S5，但 MBE 沉积窗口仍待实验确认。,S/Se mixed cage-like candidate; series properties are similar to alpha-P4S5.
8,AsP3S4Se,AsP3S4Se,2D cage-like inorganic molecular crystal,0.7825,0.5024,0.5472,0.34,0.34,0.1436,0.5032,8.112,0.565,0.0,待验证 MBE 生长候选,工艺待验证：先确认高真空下升华温度是否低于分解温度。,系列性质类似 α-P4S5，但 MBE 沉积窗口仍待实验确认。,As/P/S/Se mixed cage-like candidate; series properties are similar to alpha-P4S5.
9,P4Se3,P4Se3,2D cage-like inorganic molecular crystal,0.5828,0.4279,0.5369,0.78,0.78,0.0741,0.4882,8.948,1.35,0.046,已验证 MBE 生长候选,候选验证：建议补充 STS、DFT 和沉积窗口数据。,升华温度低于分解温度，但窗口较窄，建议优先在 MBE 条件下验证。,Confirmed MBE-growth candidate from provided table; electronic/optical descriptors still need completion.
10,beta-P4S5-centro,β-P4S5 中心相,2D cage-like inorganic molecular crystal,0.878,0.3376,0.5341,0.14,0.14,0.2873,0.4748,10.2,0.972,0.0,待验证 MBE 生长候选,暂缓器件：先解决升华/分解窗口、空气稳定性或原位封装问题。,疑似可 MBE 生长，但热蒸镀/低真空升华路径风险较高。,Centrosymmetric beta-P4S5; expected to be similar to alpha-P4S5 but difficult to obtain by sublimation.
