material,material_class,bandgap_eV,is_metal,defect_trap_score,ion_migration_score,air_stability_score,thermal_stability_score,fabrication_score,stm_evidence_score,surface_order_score,encapsulation_need_score,evidence_level,evidence_note,shg_x_ags,birefringence_delta_n,sublimation_temp_c,decomposition_temp_c,process_note
Sb2O3,2D inorganic molecular crystal,3.3,0,0.75,0.55,0.75,0.75,0.78,0.95,0.88,0.25,high,"Published 2D inorganic molecular crystal anchor with STM/STS and vdW polaron evidence.",,,,,Literature anchor candidate
PAs3S3,2D cage-like inorganic molecular crystal,2.75,0,0.78,0.50,0.65,0.72,0.72,0.65,0.75,0.35,confirmed_mbe,"Published/reference [1] and confirmed MBE-growth candidate with clear sublimation-decomposition window.",8.0,0.150,120,207,Confirmed MBE-growth candidate; sublimation below decomposition
P3SbS3,2D cage-like inorganic molecular crystal,2.24,0,0.72,0.48,0.62,0.78,0.45,0.58,0.62,0.45,confirmed_mbe,"Confirmed MBE-growth candidate with high birefringence, but raw-material synthesis remains difficult.",1.5,0.257,210,211,"Confirmed MBE-growth candidate; raw-material synthesis remains difficult"
P4Se3,2D cage-like inorganic molecular crystal,,0,0.62,0.45,0.58,0.70,0.60,0.42,0.55,0.45,confirmed_mbe,"Confirmed MBE-growth candidate from provided table; electronic/optical descriptors still need completion.",,,170,171,Confirmed MBE-growth candidate; sublimation about 170 C and decomposition above 170 C
As4Se3,2D cage-like inorganic molecular crystal,,0,0.58,0.42,0.48,0.62,0.35,0.35,0.50,0.60,confirmed_mbe,"Potential MBE-growth candidate, but large-crystal synthesis conditions still need exploration.",,,,,"Confirmed MBE-growth list, but bulk crystal synthesis conditions still need exploration"
alpha-As4S4,2D cage-like inorganic molecular crystal,,0,0.56,0.40,0.70,0.80,0.55,0.35,0.55,0.35,confirmed_mbe,"Confirmed MBE-growth candidate with high sublimation/decomposition temperatures.",,,300,301,Confirmed MBE-growth candidate; high sublimation temperature about 300 C and decomposition above 300 C
gamma-P4S3I2,2D cage-like inorganic molecular crystal,2.38,0,0.55,0.42,0.35,0.25,0.25,0.42,0.55,0.75,published,"Iodine-containing cage-like crystal; cannot be obtained by sublimation and decomposes below 120 C.",0.5,0.118,,120,Cannot be obtained by sublimation; decomposition <120 C
beta-P4Se3Br2,2D cage-like inorganic molecular crystal,2.31,0,0.62,0.48,0.35,0.30,0.25,0.43,0.55,0.70,published,"Bromine-containing cage-like crystal with high birefringence but poor sublimation/decomposition window.",1.1,0.237,,120,Cannot be obtained by sublimation; decomposition <120 C
alpha-P4S5-noncentro,2D cage-like inorganic molecular crystal,3.02,0,0.67,0.45,0.70,0.68,0.45,0.55,0.70,0.30,suspected_mbe,"Non-centrosymmetric alpha-P4S5 with phase transition near 167 C and decomposition near 210 C.",1.1,0.134,,210,Suspected MBE-growth candidate; phase transition near 167 C and sublimation window needs verification
AsP3S5,2D cage-like inorganic molecular crystal,2.62,0,0.64,0.45,0.67,0.66,0.38,0.45,0.62,0.38,suspected_mbe,"Series candidate whose properties are similar to alpha-P4S5 according to the provided table.",2.0,0.142,,,Suspected MBE-growth candidate; series properties similar to alpha-P4S5
P4S4Se,2D cage-like inorganic molecular crystal,2.52,0,0.66,0.47,0.66,0.66,0.38,0.44,0.60,0.40,suspected_mbe,"S/Se mixed cage-like candidate; series properties are similar to alpha-P4S5.",2.4,0.127,,,Suspected MBE-growth candidate; series properties similar to alpha-P4S5
AsP3S4Se,2D cage-like inorganic molecular crystal,2.40,0,0.67,0.48,0.64,0.64,0.36,0.44,0.60,0.42,suspected_mbe,"As/P/S/Se mixed cage-like candidate; series properties are similar to alpha-P4S5.",2.8,0.126,,,Suspected MBE-growth candidate; series properties similar to alpha-P4S5
P4Se5,2D cage-like inorganic molecular crystal,1.92,0,0.72,0.45,0.68,0.78,0.35,0.45,0.58,0.35,suspected_mbe,"Cage-like P-Se candidate with higher thermal stability according to the provided table.",5.5,0.073,,,Suspected MBE-growth candidate; higher thermal stability but sublimation window is not established
P4SSe4,2D cage-like inorganic molecular crystal,2.11,0,0.66,0.48,0.60,0.60,0.34,0.44,0.56,0.48,suspected_mbe,"Mixed S/Se cage-like molecular crystal candidate from the corrected table.",3.2,0.065,,,Suspected MBE-growth candidate; thermal and deposition window require verification
beta-P4S5-centro,2D cage-like inorganic molecular crystal,2.83,0,0.58,0.38,0.65,0.60,0.20,0.50,0.68,0.40,suspected_mbe,"Centrosymmetric beta-P4S5; expected to be similar to alpha-P4S5 but difficult to obtain by sublimation.",1.0,0.112,,,Likely similar to alpha-P4S5 but difficult to obtain by sublimation
P4O6S4,2D cage-like inorganic molecular crystal,3.56,0,0.45,0.35,0.10,0.20,0.25,0.30,0.45,0.90,internal,"Moisture-sensitive O/S cage-like candidate; cannot exist stably in air.",0.5,0.010,,,Hygroscopic; cannot exist stably in air
